RELIANCE IS Equity,ITC IS Equity,MM IS Equity,SBIN IS Equity,HNDL IS Equity,TATA IS Equity,SUNP IS Equity,TTAN IS Equity,HDFCB IS Equity,BPCL IS Equity,CIPLA IS Equity,APNT IS Equity,ONGC IS Equity,JSTL IS Equity,WPRO IS Equity,DRRD IS Equity,HMCL IS Equity,HUVR IS Equity,INFO IS Equity,KMB IS Equity,LT IS Equity,MSIL IS Equity
-0.002482007,-0.013441526,-0.023977757,-0.051198869,-0.040773941,-0.047559625,0,-0.054941118,-0.038058732,-0.027007614,-0.055457513,-0.006811172,-0.037108982,-0.073744742,-0.057361922,-0.029182175,-0.078138204,-0.01203384,-0.018153525,-0.028987537,-0.015455107,-0.037785934
-0.007149419,-0.015737342,-0.017464434,-0.021517401,-0.029078396,-0.036961091,-0.036202112,-0.013378126,-0.030246901,-0.005013865,-0.027301999,-0.039282846,-0.015237957,-0.030980739,-0.02569001,-0.028205638,0.018121037,-0.018855307,-0.004296714,-0.028072019,-0.020283133,-0.022872374
0.030078691,0.018163266,-0.00679915,0.018594679,-0.000795369,0.016151091,-0.012506787,0.021100172,0.010456272,0.00790518,-0.003080085,0.033675355,0.007648003,0.034186726,0.014923508,0.014609318,-0.00678972,-0.005655724,0.003516865,0.01097162,0.036107721,0.009347993
-0.015008438,-0.019927246,-0.018514797,-0.025812385,-0.0179301,-0.008716113,-0.009645343,0.009841523,-0.001020304,-0.024981368,-0.034344873,0.005296788,-0.009483076,0.009028208,-0.031541967,-0.021893953,0.006529427,0.011980411,-0.027685071,0.00491574,-0.001848771,-0.03887129
-0.015904908,-0.002474811,-0.009621427,-0.019625964,-0.043695155,-0.024196103,-0.052393461,-0.020891359,-0.013152676,-0.02162614,-0.050005873,-0.004672178,-0.004948511,-0.046532603,-0.003091648,-0.037241078,-0.008890497,-0.011271694,-0.011697927,-0.04623651,-0.035312741,0.008223731
-0.01446619,0,-0.039601263,-0.025918589,-0.004807022,-0.015994778,-0.025050144,-0.057158414,-0.004977198,-0.021542074,-0.058947863,-0.01067179,-0.00450946,-0.075322948,-0.029933393,-0.043781142,-0.037373357,-0.012475656,-0.033753256,-0.035471331,-0.017305986,-0.034640135
0.00372062,-0.02146773,0.03444218,0.033994003,0.016863806,0.037155977,0.005338297,0.033548548,0.036538405,-0.016859505,0.044864446,-0.000631313,0.012552707,0.046669303,0.022385071,0.024040269,0.007334664,0.004652003,0.032047672,0.034737386,-0.003908545,0.057656244
-0.012057546,0.006848107,-0.017710773,-0.024974154,-0.011774737,-0.024962828,-0.041835239,-0.079284558,0.031761226,-0.037410665,0.006221153,0.008489282,-0.008966608,-0.023062423,-0.009403756,-0.008039059,-0.05498488,0.000713776,0.00292208,-0.017778246,-0.011520978,-0.040960162
-0.004623692,-0.007933687,-0.024222079,0.018159206,-0.003578495,-0.010092308,-0.019498546,0.009804,0.0098542,0.015161842,-0.013242721,-0.001566662,0.003458217,-0.0203277,0.01577179,-0.020247733,-0.005160562,0.000713267,0.011924086,0.004102187,0.011325149,0.002141838
-0.001374098,0.005776189,0.011215071,-0.007768082,0.033489517,-0.002100841,0.059016287,-0.008573231,-0.012576348,0.022105935,-0.005538064,-0.002197458,-0.00982951,0.003268462,0.010280602,-0.022349315,0.026660683,0.016616964,-0.016310414,0.002972875,0.001467782,-0.005004777
0.005656027,-0.007950891,-0.003399987,-0.005637916,-0.008336817,0.012539349,-0.008621747,0.002457004,0.010266434,-0.045907783,0.020095463,0.00813776,-0.005593768,-0.010137236,0.008873431,-0.004163859,0.012423672,-0.0038644,-0.003343257,-0.004462633,0.006044082,-0.025161603
-0.004281928,0.105940899,-0.028291361,-0.008424958,-0.012124726,0.009302393,-0.001639537,0.006116227,-0.014559124,-0.014466798,0.018594809,0.008381238,0.016343453,-0.01388073,-0.019892421,0.014692771,-0.01046645,0.00070373,0.003017578,0.000745157,0.02845701,-0.033382101
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.009485283,-0.023445023,0.00432829,-0.008867599,-0.013216671,0.024391453,0.016967287,0.007290433,-0.039893603,-0.021634906,0.014267665,0.01837724,-0.004609365,-0.017471709,-0.040551189,0.012835729,-0.04387211,0.037284263,-0.030677506,-0.027947438,-0.038714512,0.038757801
-0.010101096,0.008980603,0.0221775,0.018568417,0.007332927,0.020865138,0.007347909,-0.017094433,0.057723532,0.006955743,-0.007474285,0.018045602,0.005184045,0.038221213,0.013599415,-5.49E-05,0.019556521,0.013129291,0.003855184,-0.001916811,-0.007886476,0.027283707
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008887398,0.01837322,0.032449103,-0.001640689,0.014321829,0.009784814,-0.019871264,0.024332101,0.032318791,0.009657468,-0.019960005,0.035718083,0.007326879,0.033365694,0.027099495,0.002739127,0.029886634,0.01394908,0.020368315,0.032839335,0.003655228,0.037810588
0.03142335,0.010992675,0.047606102,0.068567068,0.014756695,0.023734276,0.056704532,0.027269028,0.004083153,0.051148356,0.024706271,0.001149756,0.009083746,0.045027302,0.034693951,0.016063731,-0.016054106,0.01017236,0.042836193,0.032873669,0.056084088,0.024249764
0.019149698,-0.027381111,0.012370677,0.032844775,0.009778258,0.015411533,0.014665908,0.031090587,0.044733579,0.026038667,0.042779647,0.03333642,0.027756338,0.018809332,0.009655052,-0.008841121,0.012529383,0.0425052,0.015118742,0.035301936,0.040471383,0.011191873
0.019760584,-0.008629327,-0.001334025,-0.013944449,0.022715091,-0.010983948,-0.000869565,-0.003407158,-0.007823653,0.0102565,-0.014942706,-0.012863712,0.004387896,-0.015512626,-0.012941943,-0.035942276,-0.012435297,0.052419068,-0.0033314,0.019578163,-0.017248813,-0.009299303
-0.017454158,-0.018503472,0.00148214,0.022807136,0.025392669,0.004722187,-0.014899487,-0.024180798,-0.002860209,0.017596575,0.008641267,-0.018177155,-0.002191542,0.006288469,-0.014563014,-0.001493105,-0.002826458,-0.022520093,0.004877114,0.013513719,-0.008875121,0.001333778
0.013727949,0.003389834,0.015285424,0.01137299,0.006845825,0.030314725,-0.006644543,0.057740995,0.026324283,0.030167996,0.004205368,-0.005748794,0.016320676,0.033501726,0.01169604,0.002393525,0.007519539,0.005753233,0.014109582,0.022890367,0.010786211,0.02218896
-0.007003856,0.009095565,-0.008789977,-0.012190318,0.009590568,0.00304229,0.013902905,-0.012175026,-0.011045961,0.012185581,-0.003854244,-0.00462295,-0.00834467,0.018023212,0.012695413,0.029377199,0.016438726,0.001809955,-0.007566819,0.010115929,0.000545355,0.00606522
-0.012831234,-0.007404948,-0.007829274,-0.008210227,-0.013692437,0.006056954,0.00328192,-0.008948606,-0.009566061,-0.029254741,-0.021826791,0.006063249,-0.006003402,0.065864331,-0.021201195,-0.007181261,-0.017375582,-0.023171768,-0.026983481,0.016103408,-0.012435014,-0.008458086
0.006600684,-0.008822589,-0.003267977,-0.011942421,0.009629799,-0.009708814,-0.001092777,0.040732103,0.015367255,-0.002714811,-0.018834313,0.012017312,-0.002960366,0.00820666,0.006925435,0.009227507,-0.009511773,-0.013039614,0.006755721,0.019614675,-0.011288055,0.013842548
0.00623055,0.005438491,0.016234123,0.026347646,-0.003823771,0.012723589,-0.001093972,0.181961909,0.030383832,0.023906591,0.002191381,0.010186845,0.005147594,0.016450484,-0.002303153,0.00651999,0.002362838,0.002808552,0.000626125,-0.002509412,0.029792753,0.046890964
0.0099212,0.002370071,0.011787956,-0.005704522,-0.013111289,-0.006341558,0.002186749,-0.083420709,-0.014731339,-0.003589713,0.006726687,0.000562905,-0.006576087,0.136188064,-0.009702487,0.004188346,0.005272585,-0.041029765,-0.000234751,0.0357842,0.000993004,-0.013931395
0.009022133,0.002364467,0.025990325,0.008463592,0.00850338,0.002118324,0.010214149,0.073479371,-0.007795622,0.003589713,0.001629402,0.009521214,0.002964592,-0.120236518,0.015020502,0.003768003,0.033065443,0.009371534,0.028544714,0.000908678,-0.002439136,0.039228707
-0.007081955,-0.011196046,-0.009631803,0.017511894,0.007328537,0.014406011,0.001080497,0,-0.011192842,-0.003989367,0.001084795,0.00361664,0.003283716,-0.007943967,0.026173949,0.002093174,0.024411156,-0.023760272,0.030854627,-0.026071098,0.00640132,-0.018861823
-0.008109029,-0.004787971,-0.000996796,-0.006711435,-0.007927417,-0.006876989,-0.012824869,-0.040784151,-0.010786065,-0.014224609,-0.008346991,0.001664817,-0.004490452,-0.03000225,-0.009964295,0.008940426,-0.014916984,0.002303011,0.005662404,-0.026449905,0.001795816,-0.002038529
-0.007682915,-0.005500186,-0.031551098,0.003041706,0.012924251,0.011633241,-0.008127447,0.044410628,-0.000889284,0.008612622,0.000546498,-0.001942556,-0.01738404,0.040734971,0.000423042,-0.009342619,-0.012496767,-0.055748262,0.000806304,-0.026840738,0.009819754,-0.03795226
0.001475773,-0.005184045,-0.009158114,-0.005128216,-0.013437862,0.012671453,-0.003313822,-0.000905387,-0.006605398,-0.013625843,-0.000364299,0.000277739,0.004235405,-0.035190784,-0.011913345,-0.006322239,-0.032036811,0.007270241,-0.004479538,-0.005917177,0.00743432,0.003913485
-0.003118079,-0.014308393,-0.009542342,-0.002251891,0.004868684,0.004965689,-0.025777512,0.014388737,0.010512346,-0.023640463,-0.009334743,0.002219141,-0.003788728,-0.016725635,-0.010469798,-0.028830382,0.008245924,-0.001380739,-0.004277924,-0.011273329,0.004486877,-0.022525639
0.000657246,-0.012734519,-0.004203579,0.003857285,-0.007440701,-0.013493898,-0.00889503,-0.044735894,-0.006579556,-0.007819085,-0.023631205,-0.028099629,0.005233574,0,-0.018479973,0.002219757,0.011505044,-0.014614039,-0.009655452,0.015550355,-0.005369022,0.00592068
0.009319122,0.015542524,0.02113803,0.029088361,-0.005336559,0.009991267,0,-0.016000341,0.000178396,-0.010710362,0.00881063,0.026435735,-0.000555463,0,0.007170588,0.002629577,-0.003696862,0.019438307,0.007953954,0.023362516,0.04588198,0.016816063
0.016142401,0.001050972,-0.003689224,-0.004841868,0.013288378,0.003502631,0.005711038,0.016000341,-0.004469481,-0.009109087,-0.010695289,-0.008081415,0.005430279,0,-0.005996362,0.007024339,-0.006316202,-0.010713771,-0.009447718,0.03590937,0.020937496,-0.005184922
